product_id,product_name,category,sub_category,brand,description,price,cost,stock_quantity,reorder_level,supplier_id,is_discontinued,created_date,last_updated
1,Student Kids,Clothing,Kids,"Estrada, Jackson and Schroeder",Data response computer great during message.,229.81,134.6,46,37,54,0,2024-08-15,2026-01-14 00:08:16.111471
2,Find Fitness,Sports,Fitness,Reed-Alvarado,Level about success from big into bed education.,932.06,462.48,191,20,62,0,2022-03-03,2026-01-06 22:28:56.951872
3,Happy Laptops,Electronics,Laptops,"Sanchez, Lewis and Woods",Fast first Democrat commercial.,885.67,471.77,385,27,12,0,2022-04-29,2026-01-18 00:35:11.305795
4,Play Furniture,Home,Furniture,Macias-Murphy,Drive evening race hair. New who message go.,632.58,307.16,453,33,85,0,2024-11-05,2026-01-12 21:52:26.246275
5,Artist Furniture,Home,Furniture,Anderson and Sons,Them today environment ability.,427.22,216.56,22,66,30,1,2022-11-23,2026-01-02 15:49:57.205492
6,Trip Accessories,Electronics,Accessories,Wells-Taylor,Up instead natural law think activity.,96.98,72.4,236,29,56,0,2022-06-26,2026-01-05 15:12:46.845734
7,Group Phones,Electronics,Phones,Johnson LLC,Enjoy hope down able defense.,732.8,478.71,358,31,65,0,2023-07-05,2026-01-06 22:01:15.826631
8,Similar Decor,Home,Decor,"Harris, Johnson and Williams",Long entire all drive. Why any remain about.,304.55,150.05,72,92,67,1,2022-07-29,2026-01-05 19:40:43.548323
9,War Fitness,Sports,Fitness,Gonzalez Inc,Leg my subject use. Forward human arrive current.,417.6,279.89,439,72,45,0,2022-03-28,2026-01-16 06:41:01.076898
10,By Kitchen,Home,Kitchen,"Hinton, Proctor and Marquez",Leave paper no interview federal.,951.9,478.49,211,31,80,0,2024-01-23,2026-01-14 16:55:52.786223
11,Defense Outdoor,Sports,Outdoor,"Bonilla, Young and Floyd",Job also job bad.,818.76,403.36,42,47,99,0,2022-11-14,2026-01-05 04:09:29.058845
12,Positive Laptops,Electronics,Laptops,Oliver-Jensen,Local many again themselves from material.,243.77,169.48,396,91,85,1,2024-08-12,2026-01-18 23:25:30.982723
13,Station Kids,Clothing,Kids,"Briggs, Ortiz and Joyce",His debate me consumer.,164.69,95.67,151,47,94,0,2023-09-02,2026-01-06 21:51:33.881851
14,Other Indoor,Sports,Indoor,"Spears, Stafford and Martin",Leader high fire investment.,553.42,264.39,123,63,20,1,2022-04-12,2026-01-17 03:17:22.421672
15,Plant Laptops,Electronics,Laptops,Cohen LLC,Form race protect there president.,941.61,431.71,222,24,96,1,2023-08-09,2026-01-07 20:13:50.301838
16,Hear Outdoor,Sports,Outdoor,Moore-Pollard,Operation would hotel door.,443.45,296.2,367,52,39,0,2022-05-12,2026-01-21 08:09:52.825724
17,Country Furniture,Home,Furniture,Navarro-Campbell,Themselves include affect.,244.38,162.37,471,100,39,1,2023-10-07,2026-01-12 08:20:32.061638
18,Condition Kids,Clothing,Kids,"Rose, Brewer and Moon",Boy cause walk contain theory.,45.58,28.48,228,76,36,0,2024-07-24,2026-01-07 19:14:59.346407
19,Blood Indoor,Sports,Indoor,"Weber, Green and Russell",Whom air actually rich party road.,364.06,227.25,40,66,51,0,2022-11-11,2026-01-12 17:35:40.262929
20,Maintain Kids,Clothing,Kids,Miller-Martinez,Serve person add rich.,194.97,95.47,304,24,70,0,2024-12-13,2026-01-14 11:21:27.824422
21,Good Furniture,Home,Furniture,Brown-Garcia,Especially reality maybe above often their.,48.59,26.04,158,23,86,0,2024-01-24,2026-01-11 00:24:40.816166
22,Even Men,Clothing,Men,Cruz Inc,Table expert take form. Price better vote appear.,1045.32,475.77,236,84,50,0,2024-01-16,2026-01-20 11:25:01.732037
23,Painting Phones,Electronics,Phones,Harris-Carpenter,Job seven measure decade.,262.4,167.62,482,76,88,1,2024-11-06,2026-01-05 11:06:55.548778
24,Despite Accessories,Electronics,Accessories,"Stewart, Kane and Clark",Necessary miss travel loss.,512.1,352.84,12,71,92,0,2022-02-26,2026-01-20 12:35:38.410626
25,Section Women,Clothing,Women,"Turner, Holland and White",House employee add industry thought.,876.33,409.7,357,30,88,0,2023-12-15,2026-01-20 09:08:33.324236
26,Within Phones,Electronics,Phones,Mueller-Bowman,Let voice especially.,490.59,335.1,461,60,73,0,2023-03-16,2026-01-01 08:44:56.795007
27,I Phones,Electronics,Phones,Jacobs Group,Wind record event floor. Team let voice however.,139.37,83.16,415,26,11,0,2024-06-14,2026-01-15 14:46:54.080254
28,Itself Laptops,Electronics,Laptops,Blankenship PLC,Later one fire operation family great grow.,216.62,111.23,93,64,84,0,2022-04-16,2026-01-18 16:58:05.191586
